Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,ID,Source,Location Source,Magnitude Source,Status,Timestamp,MagnitudeLevel,Distance_km
03/09/1965,17:57:55,39.197,23.86,Earthquake,15.0,,,6,MW,,,,,,,ISCGEM858461,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-03-09T17:57:55.000+05:30,Moderate,4988.991
03/13/1965,07:33:24,53.292,-162.331,Earthquake,20.0,,,5,MW,,,,,,,ISCGEM858558,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-03-13T07:33:24.000+05:30,Moderate,13868.0205
03/14/1965,15:53:07,36.405,70.724,Earthquake,207.8,,,7,MW,,,,,,,ISCGEM858598,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-03-14T15:53:07.000+05:30,High,8294.232
03/15/1965,02:02:09,22.635,121.117,Earthquake,15.0,,,5,MW,,,,,,,ISCGEM858608,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-03-15T02:02:09.000+05:30,Moderate,13175.317
03/16/1965,16:46:17,40.697,143.032,Earthquake,32.1,,,6,MW,,,,,,,ISCGEM858655,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-03-16T16:46:17.000+05:30,Moderate,14153.245
03/17/1965,14:27:15,52.785,171.821,Earthquake,25.0,,,6,MW,,,,,,,ISCGEM858677,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-03-17T14:27:15.000+05:30,Moderate,14096.591
03/18/1965,06:22:12,-20.036,-175.89,Earthquake,224.9,,,6,MW,,,,,,,ISCGEM858689,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-03-18T06:22:12.000+05:30,Moderate,17742.684
03/18/1965,12:40:45,-55.857,-26.758,Earthquake,35.0,,,5,MW,,,,,,,ISCGEM858693,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-03-18T12:40:45.000+05:30,Moderate,6663.171
03/19/1965,16:20:53,-1.887,119.836,Earthquake,40.0,,,6,MW,,,,,,,ISCGEM858722,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-03-19T16:20:53.000+05:30,Moderate,13323.174
03/21/1965,11:08:19,-1.547,126.623,Earthquake,28.9,,,6,MW,,,,,,,ISCGEM858755,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-03-21T11:08:19.000+05:30,Moderate,14078.109
